u_bin,u_left,u_right,n_points,n_roi_points,p_roi_given_u
0,0.0,0.05,2389,1141,0.47760569275847636
1,0.05,0.1,61,48,0.7868852459016393
2,0.1,0.15000000000000002,51,43,0.8431372549019608
3,0.15000000000000002,0.2,63,48,0.7619047619047619
4,0.2,0.25,129,95,0.7364341085271318
5,0.25,0.30000000000000004,128,78,0.609375
6,0.30000000000000004,0.35000000000000003,478,317,0.6631799163179917
7,0.35000000000000003,0.4,94,42,0.44680851063829785
8,0.4,0.45,62,17,0.27419354838709675
9,0.45,0.5,298,134,0.44966442953020136
10,0.5,0.55,1451,880,0.6064782908339077
11,0.55,0.6000000000000001,57,9,0.15789473684210525
12,0.6000000000000001,0.65,55,3,0.05454545454545454
13,0.65,0.7000000000000001,452,76,0.168141592920354
14,0.7000000000000001,0.75,100,2,0.02
15,0.75,0.8,91,3,0.03296703296703297
16,0.8,0.8500000000000001,42,0,0.0
17,0.8500000000000001,0.9,29,1,0.034482758620689655
18,0.9,0.9500000000000001,15,2,0.13333333333333333
19,0.9500000000000001,1.0,2207,201,0.09107385591300408
